Member State,Year,Fund,Total Paid,Advance,Interim,Absorption (%)
Ireland,2007,ERDF,7507247.4,7507247.4,0,2
Estonia,2007,CF,28793286.2,28793286.2,0,2.5
United Kingdom,2007,ERDF,108320394.7,108320394.7,0,2
Bulgaria,2007,CF,57075904.1,57075904.1,0,2.5
Austria,2007,ERDF,13601320.4,13601320.4,0,2.1
Austria,2007,TOTAL,24089571.6,24089571.6,0,2.1
Netherlands,2007,ESF,16600054.7,16600054.7,0,2
Cyprus,2007,CF,5330112.1,5330112.1,0,2.5
Romania,2007,ERDF,179529321.3,179529321.3,0,2
Hungary,2007,ERDF,252994876.6,252994876.6,0,2
Lithuania,2007,CF,57630893.6,57630893.6,0,2.5
Belgium,2007,ERDF,14155364.8,14155364.8,0,1.4
Finland,2007,ESF,12371281.3,12371281.3,0,2
Malta,2007,TOTAL,18223186.1,18223186.1,0,2.2
United Kingdom,2007,TOTAL,197818749.3,197818749.3,0,2
Lithuania,2007,ESF,20566134.5,20566134.5,0,2
Romania,2007,TOTAL,417022849.4,417022849.4,0,2.2
Ireland,2007,ESF,7507247.4,7507247.4,0,2
Croatia,2007,CF,0,0,0,0
Lithuania,2007,TOTAL,147036035.2,147036035.2,0,2.2
Finland,2007,TOTAL,31919320.9,31919320.9,0,2
Poland,2007,TOTAL,1400802683.4,1400802683.4,0,2.1
Ireland,2007,TOTAL,15014494.8,15014494.8,0,2
Germany,2007,TOTAL,509772325.8,509772325.8,0,2
Spain,2007,TOTAL,693154679.6,693154679.6,0,2
Czech republic,2007,TOTAL,367997131,367997131,0,1.4
Hungary,2007,TOTAL,541634553.1,541634553.1,0,2.2
EU28,2007,ESF,1513921430.3,1513921430.3,0,2
Netherlands,2007,TOTAL,33200054.7,33200054.7,0,2
France,2007,TOTAL,211145914.7,211145914.7,0,1.6
Latvia,2007,TOTAL,98307835.4,98307835.4,0,2.2
Sweden,2007,TOTAL,32521837.8,32521837.8,0,2
Denmark,2007,TOTAL,10191544.8,10191544.8,0,2
Portugal,2007,TOTAL,426509451.5,426509451.5,0,2
Sweden,2007,ESF,13831023.2,13831023.2,0,2
Spain,2007,ESF,161146576.4,161146576.4,0,2
Luxembourg,2007,TOTAL,504873.3,504873.3,0,1
United Kingdom,2007,ESF,89498354.6,89498354.6,0,2
Cyprus,2007,TOTAL,13314722.3,13314722.3,0,2.2
Greece,2007,TOTAL,401029220.8,401029220.8,0,2
Slovakia,2007,TOTAL,246706091.8,246706091.8,0,2.1
Bulgaria,2007,TOTAL,144887745.7,144887745.7,0,2.2
Croatia,2007,ESF,0,0,0,0
Slovenia,2007,TOTAL,89078822,89078822,0,2.2
Luxembourg,2007,ERDF,0,0,0,0
Belgium,2007,TOTAL,35619716.7,35619716.7,0,1.7
Croatia,2007,ERDF,0,0,0,0
Italy,2007,TOTAL,470862990,470862990,0,1.7
EU28,2007,TOTAL,6652194256.7,6652194256.6,0,2
Estonia,2007,TOTAL,73827854.9,73827854.8,0,2.2
Germany,2007,ESF,187613095.3,187613095.3,0,2
Bulgaria,2007,ESF,23709197.3,23709197.3,0,2
Poland,2007,ESF,194143520,194143520,0,1.9
Hungary,2007,CF,216057905.4,216057905.4,0,2.5
Slovenia,2007,CF,35289246.4,35289246.4,0,2.5
Slovenia,2007,ERDF,38675588.2,38675588.2,0,2
Sweden,2007,ERDF,18690814.6,18690814.6,0,2
Croatia,2007,TOTAL,0,0,0,0
Estonia,2007,ESF,7830346.6,7830346.6,0,2
Czech republic,2007,ESF,75490428.6,75490428.6,0,2.1
Netherlands,2007,ERDF,16600000,16600000,0,2
Belgium,2007,ESF,21464351.9,21464351.9,0,2
Czech republic,2007,ERDF,177415763.6,177415763.6,0,1.3
Romania,2007,ESF,73682952.4,73682952.4,0,2
Bulgaria,2007,ERDF,64102644.3,64102644.3,0,2
Greece,2007,CF,73943217.3,73943217.3,0,2
Luxembourg,2007,ESF,504873.3,504873.3,0,2
Finland,2007,ERDF,19548039.6,19548039.6,0,2
Latvia,2007,CF,38494413.8,38494413.8,0,2.5
Slovenia,2007,ESF,15113987.4,15113987.4,0,2
Lithuania,2007,ERDF,68839007.1,68839007.1,0,2
Austria,2007,ESF,10488251.2,10488251.2,0,2
Denmark,2007,ESF,5095772.4,5095772.4,0,2
Poland,2007,ERDF,652250319,652250319,0,1.9
Germany,2007,ERDF,322159230.5,322159230.5,0,2
Poland,2007,CF,554408844.4,554408844.4,0,2.5
Slovakia,2007,ESF,29992063.1,29992063.1,0,2
France,2007,ESF,105933775.2,105933775.2,0,1.9
Greece,2007,ERDF,242986003.6,242986003.6,0,2
Czech republic,2007,CF,115090938.8,115090938.8,0,1.3
Spain,2007,CF,70864260.2,70864260.2,0,2
Slovakia,2007,ERDF,119245564.6,119245564.6,0,2
Cyprus,2007,ERDF,5589227.1,5589227.1,0,2
Portugal,2007,CF,61199310.5,61199310.5,0,2
Malta,2007,ERDF,8879560.6,8879560.6,0,2
Malta,2007,ESF,2240000,2240000,0,2
Italy,2007,ESF,138760157.9,138760157.9,0,2
EU28,2007,CF,1582560998.1,1582560998.1,0,2.3
Latvia,2007,ESF,11013074.3,11013074.3,0,1.9
Romania,2007,CF,163810575.7,163810575.7,0,2.5
Portugal,2007,ERDF,235062383.7,235062383.7,0,2
Spain,2007,ERDF,461143843,461143843,0,2
Malta,2007,CF,7103625.5,7103625.5,0,2.5
Latvia,2007,ERDF,48800347.3,48800347.3,0,2
Hungary,2007,ESF,72581771,72581771,0,2
France,2007,ERDF,105212139.6,105212139.6,0,1.3
Portugal,2007,ESF,130247757.3,130247757.3,0,1.9
EU28,2007,ERDF,3555711828.3,3555711828.3,0,1.9
Italy,2007,ERDF,332102832.1,332102832.1,0,1.6
Greece,2007,ESF,84100000,84100000,0,1.9
Slovakia,2007,CF,97468464.1,97468464.1,0,2.5
Estonia,2007,ERDF,37204222.1,37204222.1,0,2
Cyprus,2007,ESF,2395383.1,2395383.1,0,2
Denmark,2007,ERDF,5095772.4,5095772.4,0,2
EU28,2008,CF,2803819866.2,2801546860.6,2273005.6,6.3
Estonia,2008,ESF,11745519.9,11745519.9,0,5
Slovenia,2008,ESF,22670981.1,22670981.1,0,5
France,2008,ESF,163793624.3,163793624.3,0,4.9
Latvia,2008,CF,61591062.1,61591062.1,0,6.5
Belgium,2008,ERDF,35358793.8,35358793.8,0,5
Germany,2008,ERDF,499767349.1,483238845.8,16528503.3,5.1
Slovenia,2008,CF,56462794.3,56462794.3,0,6.5
Austria,2008,ESF,15732376.8,15732376.8,0,5
Croatia,2008,ERDF,26655075,26655075,0,6.3
Lithuania,2008,TOTAL,226317142.1,226317142.1,0,5.5
Czech republic,2008,CF,458145519.7,458145519.7,0,6.6
Estonia,2008,CF,46069257.8,46069257.8,0,6.5
Greece,2008,ESF,126150000,126150000,0,4.8
Malta,2008,ERDF,13319340.9,13319340.9,0,5
Hungary,2008,ESF,110453292.1,108872656.5,1580635.6,5.1
Italy,2008,ERDF,719262543.3,719262543.3,0,5
United Kingdom,2008,ERDF,162480592,162480592,0,5
Spain,2008,ERDF,691715764.5,691715764.5,0,5
Poland,2008,CF,887054151,887054151,0,6.4
Croatia,2008,ESF,0,0,0,0
Ireland,2008,ESF,56941076.9,11260871.1,45680205.8,17.2
Lithuania,2008,ERDF,103258510.6,103258510.6,0,5
Czech republic,2008,TOTAL,1079418429.8,1079418429.8,0,5.6
Estonia,2008,ERDF,55806333.2,55806333.2,0,5
Greece,2008,TOTAL,601543831.3,601543831.3,0,5
France,2008,TOTAL,461315137.8,461315137.8,0,5
Cyprus,2008,CF,8528179.4,8528179.4,0,6.5
Italy,2008,TOTAL,927402780.2,927402780.2,0,5
Portugal,2008,CF,91798965.8,91798965.8,0,5
Netherlands,2008,ESF,24900082.1,24900082.1,0,5
Sweden,2008,TOTAL,48782756.6,48782756.6,0,5
Spain,2008,CF,106296390.2,106296390.2,0,5
Luxembourg,2008,TOTAL,2019493.3,2019493.3,0,5
Netherlands,2008,TOTAL,49800082.1,49800082.1,0,5
Poland,2008,ESF,291215280,291215280,0,4.9
EU28,2008,ESF,2368158234.3,2275775107,92383127.4,5.1
Luxembourg,2008,ESF,757310,757310,0,5
Malta,2008,TOTAL,28045141.7,28045141.7,0,5.5
Hungary,2008,TOTAL,847202715.1,834057620.2,13145095,5.6
Slovakia,2008,CF,155949542.5,155949542.5,0,6.5
Sweden,2008,ESF,20746534.7,20746534.7,0,5
Denmark,2008,TOTAL,15287317.2,15287317.2,0,5
Belgium,2008,ESF,32196527.8,32196527.8,0,5
Slovenia,2008,ERDF,58013382.2,58013382.2,0,5
Slovakia,2008,TOTAL,379805984.1,379805984.1,0,5.5
United Kingdom,2008,ESF,134247531.8,134247531.8,0,5
Austria,2008,TOTAL,36134357.4,36134357.4,0,5.1
Croatia,2008,CF,16049925,16049925,0,5.7
Lithuania,2008,ESF,30849201.8,30849201.8,0,5
Greece,2008,CF,110914825.9,110914825.9,0,5
Finland,2008,TOTAL,47878981.3,47878981.3,0,5
Malta,2008,ESF,3360000,3360000,0,5
Finland,2008,ERDF,29322059.4,29322059.4,0,5
Slovenia,2008,TOTAL,137147157.7,137147157.7,0,5.5
EU28,2008,ERDF,6044750685.7,6018930728.6,25819957.1,5
Denmark,2008,ESF,7643658.6,7643658.6,0,5
Estonia,2008,TOTAL,113621110.9,113621110.9,0,5.5
Germany,2008,TOTAL,822140922.6,764658488.7,57482433.9,5.2
Luxembourg,2008,ERDF,1262183.3,1262183.3,0,5
Croatia,2008,TOTAL,42705000,42705000,0,5
Ireland,2008,TOTAL,68201948,22521742.3,45680205.8,11.1
United Kingdom,2008,TOTAL,296728123.9,296728123.9,0,5
Spain,2008,TOTAL,1039732019.4,1039732019.4,0,5
Romania,2008,TOTAL,641915331.6,641915331.6,0,5.6
Bulgaria,2008,TOTAL,223039209,223039209,0,5.6
Cyprus,2008,ERDF,8383840.6,8383840.6,0,5
Netherlands,2008,ERDF,24900000,24900000,0,5
France,2008,ERDF,297521513.5,297521513.5,0,5
Finland,2008,ESF,18556921.9,18556921.9,0,5
Poland,2008,ERDF,1014665841.9,1014665841.9,0,4.8
Romania,2008,CF,262096921.1,262096921.1,0,6.5
Portugal,2008,ERDF,356897972.4,356897972.4,0,5.1
Malta,2008,CF,11365800.8,11365800.8,0,6.5
Portugal,2008,ESF,199539991.4,195371636,4168355.4,4.8
Portugal,2008,TOTAL,648236929.6,644068574.1,4168355.4,5
Czech republic,2008,ESF,113235642.8,113235642.8,0,5.1
Belgium,2008,TOTAL,67555321.6,67555321.6,0,5
Austria,2008,ERDF,20401980.6,20401980.6,0,5.3
Bulgaria,2008,ERDF,96153966.5,96153966.5,0,5.1
Ireland,2008,ERDF,11260871.2,11260871.2,0,5
Czech republic,2008,ERDF,508037267.2,508037267.2,0,5.1
Hungary,2008,CF,347965654.3,345692648.7,2273005.6,6.5
Greece,2008,ERDF,364479005.3,364479005.3,0,5
Bulgaria,2008,ESF,35563795.9,35563795.9,0,5
Poland,2008,TOTAL,2192935272.8,2192935272.8,0,5.3
Sweden,2008,ERDF,28036221.9,28036221.9,0,5
Italy,2008,ESF,208140236.9,208140236.9,0,5
Romania,2008,ESF,110524428.5,110524428.5,0,5
Cyprus,2008,TOTAL,20505094.6,20505094.6,0,5.5
Latvia,2008,ERDF,73200520.9,73200520.9,0,5.1
Latvia,2008,ESF,16519611.5,16519611.5,0,4.7
Slovakia,2008,ERDF,178868346.9,178868346.9,0,4.9
Slovakia,2008,ESF,44988094.7,44988094.7,0,5.1
Denmark,2008,ERDF,7643658.6,7643658.6,0,5
Bulgaria,2008,CF,91321446.6,91321446.6,0,6.5
Hungary,2008,ERDF,388783768.8,379492315,9291453.8,5.1
Romania,2008,ERDF,269293982,269293982,0,5.1
EU28,2008,TOTAL,11216728786.2,11096252696.2,120476090.1,5.3
Lithuania,2008,CF,92209429.7,92209429.7,0,6.5
Cyprus,2008,ESF,3593074.6,3593074.6,0,5
Spain,2008,ESF,241719864.7,241719864.7,0,5.1
Germany,2008,ESF,322373573.5,281419642.9,40953930.6,5.4
Latvia,2008,TOTAL,151311194.5,151311194.6,0,5.5
Spain,2009,ESF,659886578.4,201433220.6,458453357.8,13.4
Slovakia,2009,TOTAL,520811448.8,454424798,66386650.8,10
Poland,2009,TOTAL,5155672515.4,2608874119.7,2546798395.7,13
Belgium,2009,TOTAL,269483008.3,51587519.2,217895489.1,18.1
Hungary,2009,TOTAL,1904143994.4,996845944,907298050.4,13.2
Slovenia,2009,TOTAL,325614612.4,164041945.4,161572667,13.5
Sweden,2009,TOTAL,181387156.3,40652297.2,140734859.1,16.2
France,2009,TOTAL,1168711281.9,336230526.4,832480755.5,13.6
Luxembourg,2009,TOTAL,2586062.6,1262183.3,1323879.3,10.1
Malta,2009,TOTAL,35313224.6,33604922,1708302.6,9.7
Portugal,2009,TOTAL,1708335267,535289012.8,1173046254.1,13
Bulgaria,2009,TOTAL,266945129.8,266945129.8,0,9.6
United Kingdom,2009,TOTAL,845065086.4,247273436.6,597791649.8,13.6
Netherlands,2009,TOTAL,55272701,41500068.4,13772632.6,8.3
Romania,2009,TOTAL,909124667,768521468.5,140603198.5,10.3
Denmark,2009,TOTAL,33350963.7,12739431,20611532.8,11.5
Latvia,2009,TOTAL,424963649.8,181217905.4,243745744.5,14.9
Ireland,2009,TOTAL,91905228,18768118.6,73137109.4,23.3
Estonia,2009,TOTAL,474611147,136138395.2,338472751.7,19.5
Finland,2009,TOTAL,184114802.4,39899151.1,144215651.3,16.5
Cyprus,2009,TOTAL,59528115.7,24497399.7,35030716,15.2
Croatia,2009,TOTAL,144694.8,0,144694.8,5
Italy,2009,TOTAL,1332724274.5,699132885.2,633591389.3,9.8
Austria,2009,TOTAL,165821272.7,30111964.5,135709308.2,19.3
Czech republic,2009,TOTAL,1725887142.9,1052104179.4,673782963.6,12.3
Estonia,2009,ERDF,332590657.5,74408444.2,258182213.3,22.9
Bulgaria,2009,ERDF,128205288.6,128205288.6,0,9.2
Bulgaria,2009,ESF,47418394.5,47418394.5,0,9
Estonia,2009,ESF,55023992.5,15660693.2,39363299.3,19.1
Italy,2009,ESF,633641895.5,173450197.5,460191698,14.1
Malta,2009,ESF,4551429.5,4480000,71429.5,9.1
Poland,2009,ERDF,2628590354.5,1333532928.7,1295057425.8,12.3
Lithuania,2009,ERDF,745159279.1,137678014.1,607481265,26.6
Belgium,2009,ESF,148960333.2,26830439.9,122129893.4,18.9
Bulgaria,2009,CF,91321446.6,91321446.6,0,10.5
Romania,2009,ERDF,457570431.9,359058642.6,98511789.3,10.2
Slovakia,2009,ERDF,275622159.4,238491129.2,37131030.2,9.4
Finland,2009,ESF,69637898.8,15464101.6,54173797.2,16.3
Netherlands,2009,ESF,24073223.7,20750068.4,3323155.3,7.9
Cyprus,2009,ESF,4956341,4790766.2,165574.8,9.1
Denmark,2009,ERDF,9504763.8,6369715.5,3135048.3,8.7
Portugal,2009,CF,143467150.3,76499138.1,66968012.2,9.7
Greece,2009,ESF,145104149.1,117035030.2,28069118.9,8.1
Croatia,2009,ERDF,89466.3,0,89466.3,6.3
Croatia,2009,ESF,0,0,0,0
Ireland,2009,ESF,42810316.2,9384059.2,33426256.9,28.6
Luxembourg,2009,ERDF,631091.6,631091.6,0,7.5
Sweden,2009,ESF,63501244.6,17288779,46212465.7,14.2
Cyprus,2009,ERDF,40211490.1,11178454.2,29033036,19.4
Hungary,2009,CF,615978042.3,345692648.7,270285393.7,13.7
Sweden,2009,ERDF,117885911.7,23363518.3,94522393.4,17.6
Germany,2009,ESF,1113761955.9,234516369.1,879245586.8,17.4
Spain,2009,ERDF,1196106517.4,576429803.8,619676713.6,10.2
Malta,2009,ERDF,19395994.3,17759121.2,1636873.1,9.4
Slovenia,2009,ESF,33471219.2,30227974.8,3243244.4,9.4
Czech republic,2009,CF,576037780.8,352760897.6,223276883.3,13.3
Luxembourg,2009,ESF,1954971,631091.6,1323879.3,12.7
Slovakia,2009,CF,158630421.9,155949542.5,2680879.4,10.6
EU28,2009,ERDF,13807625583.2,6097599768.3,7710025814.9,12.2
Hungary,2009,ERDF,1029409537.1,505989753.3,523419783.8,13.2
Estonia,2009,CF,86996497,46069257.8,40927239.1,14.1
Netherlands,2009,ERDF,31199477.3,20750000,10449477.3,8.8
Hungary,2009,ESF,258756414.9,145163542,113592872.9,12.2
Slovakia,2009,ESF,86558867.5,59984126.2,26574741.3,10.9
Latvia,2009,ESF,41893776.2,22026148.7,19867627.5,11.9
Croatia,2009,CF,55228.5,0,55228.5,5.7
Slovenia,2009,ERDF,155991740.4,77351176.3,78640564.1,13.1
Romania,2009,CF,302671779.3,262096921.1,40574858.2,11.2
Slovenia,2009,CF,136151652.8,56462794.3,79688858.5,16.1
Denmark,2009,ESF,23846199.9,6369715.5,17476484.4,14.4
Spain,2009,CF,88580325.2,88580325.2,0,7.5
Cyprus,2009,CF,14360284.6,8528179.4,5832105.2,13.2
Czech republic,2009,ESF,152296962.7,150980857.1,1316105.6,9.3
Portugal,2009,ERDF,556868918,295980178.1,260888739.9,10
Latvia,2009,CF,96497506.2,61591062.1,34906444.1,12.8
Poland,2009,CF,1585578331.9,887054151,698524181,13.5
Austria,2009,ESF,109384414.3,13110314,96274100.3,25.9
Germany,2009,ERDF,1998385928.9,402699038.2,1595686890.7,17.5
EU28,2009,CF,4295845809.4,2628610616.5,1667235192.9,12.4
Romania,2009,ESF,148882455.7,147365904.7,1516551,9
Poland,2009,ESF,941503828.9,388287040,553216788.9,14.3
Latvia,2009,ERDF,286572367.4,97600694.6,188971672.8,17
France,2009,ERDF,607649042.3,201366826.6,406282215.7,12.5
United Kingdom,2009,ESF,548573178.6,111872943.2,436700235.3,17.2
Ireland,2009,ERDF,49094911.8,9384059.3,39710852.5,18.1
France,2009,ESF,561062239.5,134863699.8,426198539.8,15.1
Lithuania,2009,CF,245405979.8,92209429.7,153196550.1,17.1
Malta,2009,CF,11365800.8,11365800.8,0,10.5
Austria,2009,ERDF,56436858.4,17001650.5,39435207.9,14
Greece,2009,TOTAL,1144178860.4,513196556.3,630982304.2,10.6
Italy,2009,ERDF,699082379.1,525682687.7,173399691.3,8.3
Finland,2009,ERDF,114476903.7,24435049.5,90041854.2,16.7
Spain,2009,TOTAL,1944573421,866443349.7,1078130071.4,10.7
Belgium,2009,ERDF,120522675.1,24757079.3,95765595.7,17.2
Greece,2009,CF,142747581.1,92429021.6,50318559.6,8.9
Lithuania,2009,TOTAL,1067875085.8,271019712.9,796855372.9,21.3
Portugal,2009,ESF,1007999198.7,162809696.6,845189502.1,19.5
United Kingdom,2009,ERDF,296491907.9,135400493.4,161091414.5,10.5
EU28,2009,TOTAL,25110292699.6,11029537827.6,14080754872,12.7
EU28,2009,ESF,7006821307,2303327442.8,4703493864.2,14.2
Lithuania,2009,ESF,77309826.9,41132269.1,36177557.8,12.5
